Sentence	IsHeaderFooter	Page	Line	X1	X2	Y	Padding	Font
1.2. Relevant identified uses of the substance or mixture and uses advised against	false	1	31	92.16	526.27484	408.6	0.0	GUKDRG+Arial-BoldMT
1.3. Details of the supplier of the safety data sheet	false	1	33	92.16	356.71152	384.36	0.0	GUKDRG+Arial-BoldMT
Company:	false	1	35	124.2	172.56888	361.2	0.0	RNZRPK+ArialMT
BASF SE	false	1	36	124.2	169.20923	349.68	0.0	RNZRPK+ArialMT
67056 Ludwigshafen	false	1	37	124.2	219.24828	338.2758	0.0	RNZRPK+ArialMT
GERMANY	false	1	38	124.2	177.49794	326.75208	0.0	RNZRPK+ArialMT
Telephone:	false	1	40	124.2	169.14087	303.72	0.0	RNZRPK+ArialMT
+49 621 60-0	false	1	40	174.1343	239.04887	303.72	0.0	RNZRPK+ArialMT
E-mail address:	false	1	41	124.2	190.84457	292.2	0.0	RNZRPK+ArialMT
global.info@basf.com	false	1	41	195.6049	295.57178	292.2	0.0	RNZRPK+ArialMT
1.4. Emergency telephone number	false	1	44	92.16	274.3973	256.8	0.0	GUKDRG+Arial-BoldMT
International emergency number:	false	1	46	92.16	241.68947	233.63579	0.0	RNZRPK+ArialMT
Telephone:	false	1	47	92.16	137.8432	222.11206	0.0	RNZRPK+ArialMT
+49 180 2273-112	false	1	47	142.91911	229.2096	222.11206	0.0	RNZRPK+ArialMT
SECTION 2:	false	1	49	70.92	125.10982	189.36	0.0	GUKDRG+Arial-BoldMT
Hazards Identification	false	1	49	131.1309	269.616	189.36	0.0	GUKDRG+Arial-BoldMT
2.1. Classification of the substance or mixture	false	1	51	92.16	335.47055	159.12	0.0	GUKDRG+Arial-BoldMT
For the classification of the mixture the following methods have been applied:	false	1	53	92.16	430.05966	135.9558	0.0	RNZRPK+ArialMT
extrapolation on the	false	1	53	434.44797	526.6024	135.9558	0.0	RNZRPK+ArialMT
concentration levels of the hazardous substances, on basis of test results and after evaluation of	false	1	54	92.16	520.59766	124.432076	0.0	RNZRPK+ArialMT
experts. The methodologies used are mentioned at the respective test results.	false	1	55	92.16	439.68433	112.908356	0.0	RNZRPK+ArialMT
According to Regulation (EC) No 1272/2008 [CLP]	false	1	58	92.16	317.7689	78.3372	0.0	RNZRPK+ArialMT
Page:	true	2	2	491.76	512.2059	762.84	0.0	RNZRPK+ArialMT
2/15	true	2	2	517.3173	542.87463	762.84	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	true	2	3	72.34433	519.2296	749.643	0.0	RNZRPK+ArialMT
Date / Revised:	true	2	4	72.36	139.11421	738.0	0.0	RNZRPK+ArialMT
16.08.2019	true	2	4	143.88237	196.3321	738.0	0.0	RNZRPK+ArialMT
Version:	true	2	4	486.72586	519.4884	738.0	290.39374	RNZRPK+ArialMT
7.1	true	2	4	524.16876	542.89026	738.0	290.39374	RNZRPK+ArialMT
Date previous version:	true	2	5	72.359955	171.10248	726.5958	0.0	RNZRPK+ArialMT
14.08.2019	true	2	5	175.8045	227.5268	726.5958	0.0	RNZRPK+ArialMT
Previous version:	true	2	5	446.75635	519.99365	726.5958	219.22955	RNZRPK+ArialMT
7.0	true	2	5	524.571	542.8803	726.5958	219.22955	RNZRPK+ArialMT
Product:	true	2	6	72.350006	112.31949	715.0721	0.0	RNZRPK+ArialMT
Cavipor® T0	true	2	6	112.309525	174.2408	715.0721	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	true	2	7	383.98846	542.87036	703.54834	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	true	2	8	432.84	542.88885	690.36	0.0	RNZRPK+ArialMT
Eye Dam./Irrit. 2	false	2	15	92.16	167.16875	609.84	0.0	RNZRPK+ArialMT
H319	false	2	17	92.159996	118.81296	586.79254	0.0	RNZRPK+ArialMT
For the classifications not written out in full in this section the full text can be found in section 16.	false	2	19	92.159996	519.6133	563.74506	0.0	RNZRPK+ArialMT
2.2. Label elements	false	2	22	92.16	196.1568	528.36	0.0	GUKDRG+Arial-BoldMT
Globally Harmonized System, EU (GHS)	false	2	24	92.16	274.44794	505.2	0.0	RNZRPK+ArialMT
Pictogram:	false	2	26	92.16	142.68709	482.15628	0.0	RNZRPK+ArialMT
Signal Word:	false	2	30	92.16	152.169	419.5163	0.0	RNZRPK+ArialMT
Warning	false	2	31	92.16	132.12251	408.1121	0.0	RNZRPK+ArialMT
Hazard Statement:	false	2	33	92.16	178.32394	385.06467	0.0	RNZRPK+ArialMT
H319	false	2	34	95.76	122.40888	373.56	0.0	RNZRPK+ArialMT
Causes serious eye irritation.	false	2	34	205.56	337.3289	373.56	83.151115	RNZRPK+ArialMT
Precautionary Statements (Prevention):	false	2	36	92.16	270.0058	350.6358	0.0	RNZRPK+ArialMT
P280	false	2	37	95.76	121.92889	339.12	0.0	RNZRPK+ArialMT
Wear eye/face protection.	false	2	37	205.56	322.3289	339.12	83.63111	RNZRPK+ArialMT
P264	false	2	38	95.76	121.92889	327.6	0.0	RNZRPK+ArialMT
Wash with plenty of water and soap thoroughly after handling.	false	2	38	205.56	481.9289	327.6	83.63111	RNZRPK+ArialMT
Precautionary Statements (Response):	false	2	40	92.16	267.24686	304.55627	0.0	RNZRPK+ArialMT
P305 + P351 + P338	false	2	41	95.76	191.40887	293.04	0.0	RNZRPK+ArialMT
IF IN EYES:	false	2	41	205.56	251.83507	293.04	14.151123	RNZRPK+ArialMT
Rinse cautiously with water for several minutes. Remove	false	2	41	256.4626	515.60297	293.04	14.151123	RNZRPK+ArialMT
contact lenses, if present and easy to do. Continue rinsing.	false	2	42	205.56	467.8889	281.64	0.0	RNZRPK+ArialMT
P337 + P311	false	2	43	95.76	156.60887	270.12	0.0	RNZRPK+ArialMT
If eye irritation persists:	false	2	43	205.56	321.9981	270.12	48.951126	RNZRPK+ArialMT
Call a POISON CENTER or doctor/physician.	false	2	43	326.4765	514.56885	270.12	48.951126	RNZRPK+ArialMT
2.3. Other hazards	false	2	46	92.16	190.63681	234.6	0.0	GUKDRG+Arial-BoldMT
SECTION 3:	false	2	48	70.92	126.524574	201.72	0.0	GUKDRG+Arial-BoldMT
Composition/Information on Ingredients	false	2	48	132.70287	373.656	201.72	0.0	GUKDRG+Arial-BoldMT
3.1. Substances	false	2	49	92.16	178.39345	182.88	0.0	GUKDRG+Arial-BoldMT
Not applicable	false	2	51	92.16	158.28444	159.71628	0.0	RNZRPK+ArialMT
3.2. Mixtures	false	2	53	92.16	161.83345	135.72	0.0	GUKDRG+Arial-BoldMT
Page:	true	3	2	491.76	512.2059	762.84	0.0	RNZRPK+ArialMT
3/15	true	3	2	517.3173	542.87463	762.84	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	true	3	3	72.34433	519.2296	749.643	0.0	RNZRPK+ArialMT
Date / Revised:	true	3	4	72.36	139.11421	738.0	0.0	RNZRPK+ArialMT
16.08.2019	true	3	4	143.88237	196.3321	738.0	0.0	RNZRPK+ArialMT
Version:	true	3	4	486.72586	519.4884	738.0	290.39374	RNZRPK+ArialMT
7.1	true	3	4	524.16876	542.89026	738.0	290.39374	RNZRPK+ArialMT
Date previous version:	true	3	5	72.359955	171.10248	726.5958	0.0	RNZRPK+ArialMT
14.08.2019	true	3	5	175.8045	227.5268	726.5958	0.0	RNZRPK+ArialMT
Previous version:	true	3	5	446.75635	519.99365	726.5958	219.22955	RNZRPK+ArialMT
7.0	true	3	5	524.571	542.8803	726.5958	219.22955	RNZRPK+ArialMT
Product:	true	3	6	72.350006	112.31949	715.0721	0.0	RNZRPK+ArialMT
Cavipor® T0	true	3	6	112.309525	174.2408	715.0721	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	true	3	7	383.98846	542.87036	703.54834	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	true	3	8	432.84	542.88885	690.36	0.0	RNZRPK+ArialMT
Chemical nature	false	3	15	92.16	167.76888	609.84	0.0	RNZRPK+ArialMT
Hazardous ingredients (GHS)	false	3	17	92.16	226.09212	586.8	0.0	RNZRPK+ArialMT
according to Regulation (EC) No. 1272/2008	false	3	18	92.16	291.72855	575.28	0.0	RNZRPK+ArialMT
D-Glucopyranose, oligomeric, C10-16-alkyl glycosides	false	3	20	92.16	335.03464	552.3521	0.0	RNZRPK+ArialMT
Content (W/W):	false	3	21	147.24	210.12813	540.84	0.0	RNZRPK+ArialMT
>= 0.285 % - <	false	3	21	214.96568	287.5289	540.84	0.0	RNZRPK+ArialMT
Skin Corr./Irrit. 2	false	3	21	310.2	385.8089	540.84	22.671112	RNZRPK+ArialMT
2.36 %	false	3	22	147.24	181.09164	529.3199	0.0	RNZRPK+ArialMT
Eye Dam./Irrit. 1	false	3	22	310.2	385.20877	529.3199	129.10837	RNZRPK+ArialMT
CAS Number:	false	3	23	147.24	201.13513	517.8	0.0	RNZRPK+ArialMT
110615-47-9	false	3	23	206.52464	271.1988	517.8	0.0	RNZRPK+ArialMT
H318, H315	false	3	23	310.2	366.36447	517.79614	39.00122	RNZRPK+ArialMT
REACH registration number:	false	3	24	147.24	267.1003	506.28	0.0	RNZRPK+ArialMT
01-	false	3	24	271.8947	291.0724	506.28	0.0	RNZRPK+ArialMT
2119489418-23	false	3	25	147.24	220.08888	494.88	0.0	RNZRPK+ArialMT
Specific concentration limit:	false	3	25	310.2	434.16888	494.86823	90.11113	RNZRPK+ArialMT
Eye Irrit. 1:	false	3	26	310.2	361.39642	483.36	160.19113	RNZRPK+ArialMT
> 12 %	false	3	26	365.66278	395.52737	483.36	160.19113	RNZRPK+ArialMT
Skin Corr./Irrit. 2:	false	3	27	310.20004	389.41452	471.83627	0.0	RNZRPK+ArialMT
> 30 %	false	3	27	393.5837	422.76797	471.83627	0.0	RNZRPK+ArialMT
Potassium methylsilanetriolate	false	3	30	92.16	230.04623	437.27628	0.0	RNZRPK+ArialMT
Content (W/W):	false	3	31	147.24	209.1235	425.88	0.0	RNZRPK+ArialMT
>= 0.25 % - <= 4.9	false	3	31	213.88377	304.3289	425.88	0.0	RNZRPK+ArialMT
Skin Corr./Irrit. 1A	false	3	31	310.2	392.4089	425.88	5.8711243	RNZRPK+ArialMT
%	false	3	32	147.24	158.88887	414.36	0.0	RNZRPK+ArialMT
Eye Dam./Irrit. 1	false	3	32	310.2	385.20877	414.36	151.31114	RNZRPK+ArialMT
CAS Number:	false	3	33	147.24	201.07681	402.84	0.0	RNZRPK+ArialMT
31795-24-1	false	3	33	206.4605	265.68097	402.84	0.0	RNZRPK+ArialMT
H314	false	3	33	310.2	336.853	402.83627	44.519043	RNZRPK+ArialMT
EC-Number:	false	3	34	147.24	195.24762	391.32	0.0	RNZRPK+ArialMT
250-807-9	false	3	34	200.5818	253.92358	391.32	0.0	RNZRPK+ArialMT
REACH registration number:	false	3	35	147.24	267.1003	379.8	0.0	RNZRPK+ArialMT
01-	false	3	35	271.8947	291.0724	379.8	0.0	RNZRPK+ArialMT
2119517439-34	false	3	36	147.24	220.08888	368.28	0.0	RNZRPK+ArialMT
Alcohols, C12-14, ethoxylated, sulfates, sodium salts	false	3	39	92.155685	329.04434	333.8334	0.0	RNZRPK+ArialMT
Content (W/W):	false	3	40	147.24	210.57986	322.32	0.0	RNZRPK+ArialMT
>= 0.945 % - <=	false	3	40	215.45216	293.4089	322.32	0.0	RNZRPK+ArialMT
Skin Corr./Irrit. 2	false	3	40	310.2	385.8089	322.32	16.791107	RNZRPK+ArialMT
2.52 %	false	3	41	147.24	181.09164	310.8	0.0	RNZRPK+ArialMT
Eye Dam./Irrit. 1	false	3	41	310.2	385.20877	310.8	129.10837	RNZRPK+ArialMT
CAS Number:	false	3	42	147.24	201.07681	299.4	0.0	RNZRPK+ArialMT
68891-38-3	false	3	42	206.4605	265.68097	299.4	0.0	RNZRPK+ArialMT
H318, H315	false	3	42	310.2	366.36447	299.39578	44.519043	RNZRPK+ArialMT
Specific concentration limit:	false	3	44	310.2	434.16888	276.34836	0.0	RNZRPK+ArialMT
Eye Irrit. 2:	false	3	45	310.2	360.8145	264.84	0.0	RNZRPK+ArialMT
> 10 - < 30 %	false	3	45	365.03238	424.08267	264.84	0.0	RNZRPK+ArialMT
Eye Dam. 1:	false	3	46	310.19006	361.66754	253.31628	0.0	RNZRPK+ArialMT
>= 30 %	false	3	46	366.81528	407.99728	253.31628	0.0	RNZRPK+ArialMT
For the classifications not written out in full in this section, including the hazard classes and the	false	3	49	92.16	513.29083	218.87628	0.0	RNZRPK+ArialMT
hazard statements, the full text is listed in section 16.	false	3	50	92.16	329.04868	207.35257	0.0	RNZRPK+ArialMT
SECTION 4:	false	3	53	70.92	127.40772	163.2	0.0	GUKDRG+Arial-BoldMT
First-Aid Measures	false	3	53	133.68414	252.936	163.2	0.0	GUKDRG+Arial-BoldMT
4.1. Description of first aid measures	false	3	54	92.16	287.83298	144.36	0.0	GUKDRG+Arial-BoldMT
Remove contaminated clothing.	false	3	55	92.16	237.84491	132.6	0.0	RNZRPK+ArialMT
Page:	true	4	2	491.76	512.2059	762.84	0.0	RNZRPK+ArialMT
4/15	true	4	2	517.3173	542.87463	762.84	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	true	4	3	72.34433	519.2296	749.643	0.0	RNZRPK+ArialMT
Date / Revised:	true	4	4	72.36	139.11421	738.0	0.0	RNZRPK+ArialMT
16.08.2019	true	4	4	143.88237	196.3321	738.0	0.0	RNZRPK+ArialMT
Version:	true	4	4	486.72586	519.4884	738.0	290.39374	RNZRPK+ArialMT
7.1	true	4	4	524.16876	542.89026	738.0	290.39374	RNZRPK+ArialMT
Date previous version:	true	4	5	72.359955	171.10248	726.5958	0.0	RNZRPK+ArialMT
14.08.2019	true	4	5	175.8045	227.5268	726.5958	0.0	RNZRPK+ArialMT
Previous version:	true	4	5	446.75635	519.99365	726.5958	219.22955	RNZRPK+ArialMT
7.0	true	4	5	524.571	542.8803	726.5958	219.22955	RNZRPK+ArialMT
Product:	true	4	6	72.350006	112.31949	715.0721	0.0	RNZRPK+ArialMT
Cavipor® T0	true	4	6	112.309525	174.2408	715.0721	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	true	4	7	383.98846	542.87036	703.54834	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	true	4	8	432.84	542.88885	690.36	0.0	RNZRPK+ArialMT
If inhaled:	false	4	15	92.16	138.24492	609.84	0.0	RNZRPK+ArialMT
Immediately administer a corticosteroid from a controlled/metered dose inhaler.	false	4	16	92.16	447.85156	598.3163	0.0	RNZRPK+ArialMT
On skin contact:	false	4	18	92.160065	166.69073	575.2688	0.0	RNZRPK+ArialMT
Wash off thoroughly with ample water. No hazards anticipated.	false	4	19	92.16006	375.12366	563.74506	0.0	RNZRPK+ArialMT
On contact with eyes:	false	4	21	92.150085	190.55487	540.81714	0.0	RNZRPK+ArialMT
Immediately wash affected eyes for at least 15 minutes under running water with eyelids held open,	false	4	22	92.15007	533.91315	529.2934	0.0	RNZRPK+ArialMT
consult an eye specialist.	false	4	23	92.15007	208.9211	517.76965	0.0	RNZRPK+ArialMT
On ingestion:	false	4	25	92.15006	153.8423	494.84174	0.0	RNZRPK+ArialMT
Immediately rinse mouth and then drink 200-300 ml of water, seek medical attention.	false	4	26	92.15007	471.83527	483.31802	0.0	RNZRPK+ArialMT
4.2. Most important symptoms and effects, both acute and delayed	false	4	29	92.16	443.7178	447.84	0.0	GUKDRG+Arial-BoldMT
4.3. Indication of any immediate medical attention and special treatment needed	false	4	31	92.16	512.7177	423.72	0.0	GUKDRG+Arial-BoldMT
Treatment:	false	4	32	92.16	132.87743	412.08	0.0	RNZRPK+ArialMT
Treat according to symptoms (decontamination, vital functions), no known specific	false	4	32	137.40158	508.3826	412.08	0.0	RNZRPK+ArialMT
antidote.	false	4	33	92.15004	136.07362	400.55627	0.0	RNZRPK+ArialMT
SECTION 5:	false	4	35	70.92	127.106186	367.8	0.0	GUKDRG+Arial-BoldMT
Fire-Fighting Measures	false	4	35	133.34909	276.936	367.8	0.0	GUKDRG+Arial-BoldMT
5.1. Extinguishing media	false	4	36	92.16	224.11008	348.96	0.0	GUKDRG+Arial-BoldMT
Suitable extinguishing media:	false	4	37	92.16	227.88492	337.32	0.0	RNZRPK+ArialMT
water spray, dry powder, foam	false	4	38	92.16	229.44864	325.7963	0.0	RNZRPK+ArialMT
5.2. Special hazards arising from the substance or mixture	false	4	40	92.16	400.39682	301.8	0.0	GUKDRG+Arial-BoldMT
harmful vapours, carbon oxides, sulfur oxides	false	4	41	92.16	296.1707	290.16	0.0	RNZRPK+ArialMT
Evolution of fumes/fog. The substances/groups of substances mentioned can be released in case of	false	4	42	92.15999	536.93207	278.6363	0.0	RNZRPK+ArialMT
fire.	false	4	43	92.15999	114.37079	267.2321	0.0	RNZRPK+ArialMT
5.3. Advice for fire-fighters	false	4	45	92.16	234.55392	243.24	0.0	GUKDRG+Arial-BoldMT
SECTION 6:	false	4	47	70.92	128.23958	210.36	0.0	GUKDRG+Arial-BoldMT
Accidental Release Measures	false	4	47	134.60841	312.93597	210.36	0.0	GUKDRG+Arial-BoldMT
6.1. Personal precautions, protective equipment and emergency procedures	false	4	48	92.16	492.67126	191.52	0.0	GUKDRG+Arial-BoldMT
Use personal protective clothing. Information regarding personal protective measures, see section 8.	false	4	49	92.16	541.80414	179.88	0.0	RNZRPK+ArialMT
6.2. Environmental precautions	false	4	51	92.16	258.43344	155.88	0.0	GUKDRG+Arial-BoldMT
6.3. Methods and material for containment and cleaning up	false	4	52	92.16	402.7925	143.28337	0.0	GUKDRG+Arial-BoldMT
6.4. Reference to other sections	false	4	53	92.160034	261.5578	130.56529	0.0	GUKDRG+Arial-BoldMT
Page:	true	5	2	491.76	512.2059	762.84	0.0	RNZRPK+ArialMT
5/15	true	5	2	517.3173	542.87463	762.84	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	true	5	3	72.34433	519.2296	749.643	0.0	RNZRPK+ArialMT
Date / Revised:	true	5	4	72.36	139.11421	738.0	0.0	RNZRPK+ArialMT
16.08.2019	true	5	4	143.88237	196.3321	738.0	0.0	RNZRPK+ArialMT
Version:	true	5	4	486.72586	519.4884	738.0	290.39374	RNZRPK+ArialMT
7.1	true	5	4	524.16876	542.89026	738.0	290.39374	RNZRPK+ArialMT
Date previous version:	true	5	5	72.359955	171.10248	726.5958	0.0	RNZRPK+ArialMT
14.08.2019	true	5	5	175.8045	227.5268	726.5958	0.0	RNZRPK+ArialMT
Previous version:	true	5	5	446.75635	519.99365	726.5958	219.22955	RNZRPK+ArialMT
7.0	true	5	5	524.571	542.8803	726.5958	219.22955	RNZRPK+ArialMT
Product:	true	5	6	72.350006	112.31949	715.0721	0.0	RNZRPK+ArialMT
Cavipor® T0	true	5	6	112.309525	174.2408	715.0721	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	true	5	7	383.98846	542.87036	703.54834	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	true	5	8	432.84	542.88885	690.36	0.0	RNZRPK+ArialMT
Information regarding exposure controls/personal protection and disposal considerations can be	false	5	15	92.16	518.43726	609.84	0.0	RNZRPK+ArialMT
found in section 8 and 13.	false	5	16	92.16	209.52864	598.3163	0.0	RNZRPK+ArialMT
SECTION 7:	false	5	19	70.92	128.43173	554.16	0.0	GUKDRG+Arial-BoldMT
Handling and Storage	false	5	19	134.82193	269.016	554.16	0.0	GUKDRG+Arial-BoldMT
7.1. Precautions for safe handling	false	5	20	92.16	271.27298	535.3199	0.0	GUKDRG+Arial-BoldMT
7.2. Conditions for safe storage, including any incompatibilities	false	5	21	92.16002	426.2415	522.6018	0.0	GUKDRG+Arial-BoldMT
Segregate from acids.	false	5	22	92.16	195.48505	510.96	0.0	RNZRPK+ArialMT
Suitable materials for containers:	false	5	24	92.16001	242.46487	487.91257	0.0	RNZRPK+ArialMT
High density polyethylene (HDPE)	false	5	24	247.01956	397.32446	487.91257	0.0	RNZRPK+ArialMT
Unsuitable materials for containers:	false	5	25	92.16	253.3193	476.50836	0.0	RNZRPK+ArialMT
Aluminium	false	5	25	257.92386	303.96936	476.50836	0.0	RNZRPK+ArialMT
Further information on storage conditions:	false	5	26	92.15997	274.13193	464.98465	0.0	RNZRPK+ArialMT
Keep container tightly closed.	false	5	26	278.57028	416.1588	464.98465	0.0	RNZRPK+ArialMT
Storage stability:	false	5	28	92.150055	168.83209	441.93723	0.0	RNZRPK+ArialMT
Storage temperature:	false	5	29	92.1401	180.5278	430.4135	0.0	RNZRPK+ArialMT
5 - 40 °C	false	5	29	185.17978	231.69963	430.4135	0.0	RNZRPK+ArialMT
Storage duration:	false	5	30	92.13016	168.05292	419.0093	0.0	RNZRPK+ArialMT
6 Months	false	5	30	172.7981	215.50465	419.0093	0.0	RNZRPK+ArialMT
7.3. Specific end use(s)	false	5	32	92.16	216.91202	395.04	0.0	GUKDRG+Arial-BoldMT
technical and organizational protective maesures are preferable to use (personal protective	false	5	33	92.16	497.20752	383.28	0.0	RNZRPK+ArialMT
Equipment must not be a permanent measure)	false	5	34	92.16	304.44748	371.8758	0.0	RNZRPK+ArialMT
SECTION 8:	false	5	37	70.92	126.828705	327.6	0.0	GUKDRG+Arial-BoldMT
Exposure Controls/Personal Protection	false	5	37	133.04079	369.09976	327.6	0.0	GUKDRG+Arial-BoldMT
8.1. Control parameters	false	5	38	92.16	218.11537	308.76	0.0	GUKDRG+Arial-BoldMT
8.2. Exposure controls	false	5	40	92.16	213.19153	284.64	0.0	GUKDRG+Arial-BoldMT
Personal protective equipment	false	5	41	92.16	230.04623	267.0	0.0	RNZRPK+ArialMT
Respiratory protection:	false	5	42	92.16	195.48503	249.48	0.0	RNZRPK+ArialMT
Respiratory protection in case of vapour/aerosol release. (Particle filter EN 143 P2 or FFP2)	false	5	43	92.159996	500.05188	237.95627	0.0	RNZRPK+ArialMT
Eye protection:	false	5	45	92.16	161.65092	215.02835	0.0	RNZRPK+ArialMT
Tightly fitting safety goggles (splash goggles) (e.g. EN 166)	false	5	46	92.16001	356.76733	203.50464	0.0	RNZRPK+ArialMT
Body protection:	false	5	48	92.16	167.16875	180.45721	0.0	RNZRPK+ArialMT
Body protection must be chosen depending on activity and possible exposure, e.g. apron, protecting	false	5	49	92.159996	537.27167	168.9335	0.0	RNZRPK+ArialMT
boots, chemical-protection suit (according to EN 14605 in case of splashes or EN ISO 13982 in case	false	5	50	92.159996	538.8512	157.5293	0.0	RNZRPK+ArialMT
of dust).	false	5	51	92.16	131.0538	146.00558	0.0	RNZRPK+ArialMT
General safety and hygiene measures	false	5	53	92.16	263.8889	122.95815	0.0	RNZRPK+ArialMT
Page:	true	6	2	491.76	512.2059	762.84	0.0	RNZRPK+ArialMT
6/15	true	6	2	517.3173	542.87463	762.84	0.0	RNZRPK+ArialMT
BASF Safety data sheet according to Regulation (EC) No. 1907/2006 as amended from time to time.	true	6	3	72.34433	519.2296	749.643	0.0	RNZRPK+ArialMT
Date / Revised:	true	6	4	72.36	139.11421	738.0	0.0	RNZRPK+ArialMT
16.08.2019	true	6	4	143.88237	196.3321	738.0	0.0	RNZRPK+ArialMT
Version:	true	6	4	486.72586	519.4884	738.0	290.39374	RNZRPK+ArialMT
7.1	true	6	4	524.16876	542.89026	738.0	290.39374	RNZRPK+ArialMT
Date previous version:	true	6	5	72.359955	171.10248	726.5958	0.0	RNZRPK+ArialMT
14.08.2019	true	6	5	175.8045	227.5268	726.5958	0.0	RNZRPK+ArialMT
Previous version:	true	6	5	446.75635	519.99365	726.5958	219.22955	RNZRPK+ArialMT
7.0	true	6	5	524.571	542.8803	726.5958	219.22955	RNZRPK+ArialMT
Product:	true	6	6	72.350006	112.31949	715.0721	0.0	RNZRPK+ArialMT
Cavipor® T0	true	6	6	112.309525	174.2408	715.0721	-0.009963989	GUKDRG+Arial-BoldMT
(ID no. 860071/SDS_GEN_EU/EN)	true	6	7	383.98846	542.87036	703.54834	0.0	RNZRPK+ArialMT
Date of print 23.08.2019	true	6	8	432.84	542.88885	690.36	0.0	RNZRPK+ArialMT
When using do not eat or drink. Handle in accordance with good industrial hygiene and safety	false	6	15	92.16	508.38763	609.84	0.0	RNZRPK+ArialMT
practice.	false	6	16	92.16	135.486	598.3163	0.0	RNZRPK+ArialMT
SECTION 9:	false	6	19	70.92	126.74847	554.16	0.0	GUKDRG+Arial-BoldMT
Physical and Chemical Properties	false	6	19	132.95163	337.656	554.16	0.0	GUKDRG+Arial-BoldMT
9.1. Information on basic physical and chemical properties	false	6	20	92.16	401.46768	535.3199	0.0	GUKDRG+Arial-BoldMT
Form:	false	6	22	95.76	127.44888	512.16	0.0	RNZRPK+ArialMT
liquid	false	6	22	209.16	235.32887	512.16	81.71112	RNZRPK+ArialMT
Colour:	false	6	23	95.76	133.56888	500.64	0.0	RNZRPK+ArialMT
colourless to yellowish clear	false	6	23	209.16	335.8889	500.64	75.591125	RNZRPK+ArialMT
Odour:	false	6	24	95.76	129.12888	489.12	0.0	RNZRPK+ArialMT
product specific	false	6	24	209.16	281.4089	489.12	80.03113	RNZRPK+ArialMT
pH value:	false	6	25	95.76	140.76888	477.6	0.0	RNZRPK+ArialMT
approx. 12.0	false	6	25	209.16	267.4889	477.6	68.39113	RNZRPK+ArialMT
(DIN EN 1262)	false	6	25	382.8	451.2089	477.6	115.3111	RNZRPK+ArialMT
(water, 10 %(m), 23 °C)	false	6	26	209.16	319.8089	466.08	0.0	RNZRPK+ArialMT
